Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Электромонтер по ремонту и обслуживанию электрооборудования,17 апреля 2023,23000,"СХПК ""ЛЕНИНЦЫ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,17 апреля 2023,24800,"СХПК ""ЛЕНИНЦЫ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,24800,"СХПК ""ЛЕНИНЦЫ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Птицевод,17 апреля 2023,35000,"ООО ""ВЕЛЕС-АГРО""",Не имеет значения,Полная,Нет,РФ,"Приготовление с дальнейшей раздачей корма, регулирование подачи в поилках воды, уборка производственных помещений, рабочих мест",Ответственность,NULL,NULL,Сменный график
Рабочий по уходу за животными,17 апреля 2023,16242,ИП НЮГНЕЕВ Б. Э.,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Диспетчер,17 апреля 2023,23500,Индивидуальный предприниматель САИД МИННАВАР САИД ТАХИР,Эксперт (3-6 лет),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Животновод,17 апреля 2023,18000,"ООО ""8-ОЕ МАРТА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20000,"ООО ""8-ОЕ МАРТА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Ветеринарный врач,17 апреля 2023,20000,"ООО ""8-ОЕ МАРТА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Агроном,17 апреля 2023,45000,"ООО ""НИВА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Инженер-механик,17 апреля 2023,45000,"ООО ""НИВА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Электромонтер по ремонту и обслуживанию электрооборудования,17 апреля 2023,По договорённости,"АО ""САЙСАРЫ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Животновод,17 апреля 2023,40605,ИП Трофимов Д.П,Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,30000,"ООО ""МАРС""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор животноводческих комплексов и механизированных ферм,17 апреля 2023,40000,"ООО АГРОФИРМА ""АКТАНЫШ""",Молодой специалист (1-3 года),Полная,Нет,РФ,Выполнение операций технического обслуживания по подготовке к эксплуатации машин и оборудования,NULL,NULL,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,16242,"ИК МО ""САРАБИКУЛОВСКОЕ СП""",Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Электрогазосварщик,17 апреля 2023,25000,"АО ""ВОСХОД""",Не имеет значения,Полная,Нет,РФ,Газовая сварка (наплавка) сложных иответственных конструкций,NULL,NULL,NULL,Полный рабочий день
Санитар ветеринарный,17 апреля 2023,19000,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""ЗАВЬЯЛОВСКАЯ МЕЖРАЙОННАЯ СТАНЦИЯ ПО БОРЬБЕ С БОЛЕЗНЯМИ ЖИВОТНЫХ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Животновод,17 апреля 2023,18679,"СХК ""НИВА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Агроном,17 апреля 2023,30000,"АО ""ИМЕНИ АЗИНА""",Не имеет значения,Полная,Нет,РФ,"Планирование и контроль агрономических процессов, выращивание сельскохозяйственных культур",NULL,Среднее профессиональное,NULL,Полный рабочий день
Повар,17 апреля 2023,17000,"Общество с ограниченной ответственностью ""Агрофирма ""Путь Ильича""",Не имеет значения,Полная,Нет,РФ,"1. Готовит блюда и кулинарные изделия согласно установленным технологическим и санитарно-гигиеническим правилам. 2.. Получает необходимый набор продуктов для приготовления пищи у кладовщика. 3. Отвечает за своевременную закладку продуктов питания и точное соблюдение раскладок. 4. Выполняет при приготовлении пищи установленные санитарно-гигиенические и технологические правила, добиваясь максимального сохранения ее питательной ценности. 5. Сдает готовую пищу медицинской сестре по диетпитанию или дежурному врачу. 6. Отвечает за санитарное состояние своего рабочего места и строго соблюдает правила личной гигиены. 7. Проверяет перед началом работы санитарное состояние посуды и оборудования. 8. Своевременно информирует руководителя службы по организации питания обо всех недостатках, выявленных при приготовлении пищи, о необходимости ремонта оборудования, посуды и инвентаря, находящегося в его ведении. 9. Порционирует, оформляет и производит раздачу блюд.",NULL,Полное общее,NULL,Полный рабочий день
Агрохимик,17 апреля 2023,20400,"ФГБУ ГСАС ""КУЛУНДИНСКАЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20470,"СПК ""КОЛОС""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20454,"ООО ""КХ УРОЖАЙ""",Не имеет значения,Полная,Нет,РФ,Выполнять сельхозработы на закрепленном тракторе в агрегате с прицепными и навесными орудиями. Обеспечивать высоко производительное и экономичное использование трактора.,NULL,Полное общее,NULL,Полный рабочий день
Слесарь по ремонту сельскохозяйственных машин и оборудования,17 апреля 2023,30000,"АО ""ГАТЧИНСКОЕ""",Не имеет значения,Полная,Нет,РФ,Ремонт сельскохозяйственных машин и оборудования в соответствии с должностными обязанностями,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20454,"ООО "" Агрохолдинг""Алтайские поля""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,20460,ИП УГАРОВА С. В.,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,55000,"АО ""КУБАНКА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист,17 апреля 2023,22233,"ООО ""МЕЛЬНИКОВО""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Водитель автомобиля,17 апреля 2023,25000,"ООО ""ЛУГОВОЕ""",Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Водитель автомобиля,17 апреля 2023,25000,"ООО ""ЛУГОВОЕ""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,20453,"АО ""ПОБЕДА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Инженер по охране труда,17 апреля 2023,22765,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИТНИЦА АЛТАЯ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Скотник,17 апреля 2023,22233,"ООО ""СТРАНА""",Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
Подсобный рабочий,17 апреля 2023,18679,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛТАЙ - АГРО""",Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Водитель автомобиля,17 апреля 2023,20470,"СПК ""КОЛОС""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Повар,17 апреля 2023,20470,"СПК ""КОЛОС""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20470,"СПК ""КОЛОС""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Учетчик,17 апреля 2023,20500,"ООО ""БЕРЕЗОВСКОЕ""",Эксперт (3-6 лет),Сезонная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,21000,ИП БУРБАХ А. А.,Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Разнорабочий,17 апреля 2023,20500,"ООО ""БЕРЕЗОВСКОЕ""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Сторож,17 апреля 2023,20769,"ООО ""ШАНС""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Кладовщик,17 апреля 2023,20500,"ООО ""БЕРЕЗОВСКОЕ""",Эксперт (3-6 лет),Сезонная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Разнорабочий,17 апреля 2023,25000,"ООО ""СТРОИТЕЛЬ-АГРО""",Не имеет значения,Полная,Нет,РФ,"Уборка складов, выезд в поля, различные работы на территории предприятия",NULL,NULL,NULL,Полный рабочий день
Аппаратчик,17 апреля 2023,33800,"АО ""КЦ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Подсобный рабочий,17 апреля 2023,22000,"ООО ""ДИМИТРОВСКОЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,25000,"ООО КХ ""ЗАЙЦЕВ""",Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист,17 апреля 2023,20454,"АО ""СИБИРСКОЕ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Рабочий зеленого хозяйства,17 апреля 2023,20454,"АО ""СИБИРСКОЕ""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Повар,17 апреля 2023,20454,ООО ИМЕНИ КИРОВА,Эксперт (3-6 лет),Сезонная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Разнорабочий,17 апреля 2023,18679,ФГБНУ ФАНЦА,Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Сторож,17 апреля 2023,20454,"ООО "" АКХ АНУЙСКОЕ """,Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Сменный график
Подсобный рабочий,17 апреля 2023,17100,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОКОМПЛЕКС ПАВЛОВСКИЙ""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Ветеринарный фельдшер,17 апреля 2023,18500,"ГБУ ""ВЕТУПРАВЛЕНИЕ ТБИЛИССКОГО РАЙОНА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,23000,"ООО ""СЖК "" КЕДР""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Овощевод,03 апреля 2023,25000,"ООО АГРОКОМПЛЕКС ""ЧУРИЛОВО""",Не имеет значения,Полная,Нет,РФ,"1.	Сбор и  сортировка продукции огурца и томата по нормативным стандартам
2.	Уборка листа с выносом из теплицы
3.	Уборка отплетков на огурцах и пасынков на томатах 
4.	Подкручивание растений
5.	Приспускание растений
6.	Нормировка томатов
7.	Надевание кистедержателей на томатах","наличие медицинской книжки, либо готовность ее сделать за счет работодателя
опыт работы не требуется.",NULL,"Содержательные, интересные задачи, способные раскрыть потенциал каждого сотрудника;
Официальное трудоустройство и все социальные гарантии, конкурентная заработная плата;
Рабочее место- г.Челябинск пос. Чурилово ул. Трашутина 8/1
Реальные возможности профессионального и карьерного роста - Вы станете частью большой, профессиональной и дружной команды;
Пятидневная рабочая неделя с 8.00 до 17.00;
Оборудованное рабочее место;
Корпоративное обучение;
Адаптационная программа для новичков;
Яркая корпоративная культура;
Доставка служебным транспортом (Копейск, Ленинский, Театр ЧТЗ);",пятидневная рабочая неделя
Водитель автомобиля,03 апреля 2023,60000,"ООО АГРОКОМПЛЕКС ""ЧУРИЛОВО""",Эксперт (3-6 лет),Вахтовый метод,Нет,РФ,"заправлять транспортное средство горюче-смазочными материалами;
проводить проверку технического состояния автомобиля;
подавать автомобиль для загрузки/разгрузки;
устранять возникшие во время рейса поломки, не требующие профессиональных знаний и специального оборудования;
соблюдать ПДД и правила эксплуатации автомобиля;
содержать автомобиль в чистоте.","Категории водительских прав Е
карточка Тахографа СКЗИ и ЕСТР
санитарная книжка",NULL,"Официальное трудоустройство и все социальные гарантии, конкурентная заработная плата;

- Рабочее место г.Челябинск, Трашутина 8/1;

- Для иногородних кандидатов – выгодные условия релокации;

- Реальные возможности профессионального и карьерного роста - Вы станете частью большой, профессиональной и дружной команды;

- График: 15/15;

- Корпоративное обучение;

- Возможность реализовать свой творческий потенциал;

- Адаптационная программа для новичков;

- Безграничные возможности профессионального роста и карьерного продвижения;

- Яркая корпоративная культура;",15/15
Бухгалтер,17 апреля 2023,25000,"ЗАО ""ТИМАШЕВЕЦ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Грузчик,03 апреля 2023,23000,"ООО АГРОКОМПЛЕКС ""ЧУРИЛОВО""",Не имеет значения,Полная,Нет,РФ,"комплектование готовой продукции в картонную тару, согласно заявкам от потребителей,
погрузка/выгрузка готовой продукции в автотранспорт,
выполнение работ по внутреннему обустройству склада.","наличие медицинской книжки, либо готовность ее сделать за счет работодателя
опыт работы не требуется.",NULL,"Содержательные, интересные задачи, способные раскрыть потенциал каждого сотрудника;

· Официальное трудоустройство и все социальные гарантии, конкурентная заработная плата;

· Рабочее место- г.Челябинск пос. Чурилово ул. Трашутина 8/1

· Реальные возможности профессионального и карьерного роста - Вы станете частью большой, профессиональной и дружной команды;

· Сменный график 2/2 с 8.00 до 20.00, 2/2 с 20.00 до 8.00 и железнодорожный график ( есть возможность выбрать 1 из 3ех графиков)

· Корпоративное обучение;

· Адаптационная программа для новичков;

· Яркая корпоративная культура;

· Доставка служебным транспортом (Копейск, Ленинский, Театр ЧТЗ);",2/2 или ж/д
Электромонтер по ремонту и обслуживанию электрооборудования,17 апреля 2023,16242,"СЕВЕРСКИЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОС",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Сортировщица/сортировщик,03 апреля 2023,18000,"ООО АГРОКОМПЛЕКС ""ЧУРИЛОВО""",Не имеет значения,Полная,Нет,РФ,"Сортировка, фасовка огурцов/томатов на подложки.","Наличие  медицинской книжки (при отсутствии оформляется за счет работодателя).

- Трудолюбие.",NULL,"Официальное трудоустройство и все социальные гарантии, конкурентная заработная плата;

- Рабочее место г.Челябинск, Трашутина 8/1;

- Для иногородних кандидатов – выгодные условия релокации;

- График: 2/2 (c 8:00 до 20:00);

- Корпоративное обучение;

- Адаптационная программа для новичков;",2/2
Экономист,03 апреля 2023,40000,"ООО АГРОКОМПЛЕКС ""ЧУРИЛОВО""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Формирование и контроль исполнения бюджета доходов и затрат, бюджета движения денежных средств;

- Осуществление контроля над затратами проекта, проведение необходимых мероприятий с целью недопущения превышения над плановыми значениями и их оптимизации;

- Участие в разработке норм направленных на оптимизацию затрат проекта;

- Проверка предоставляемой информации для оперативного учета за деятельностью проекта;

- Формирование ежедневной оперативной отчетности по деятельности предприятия;

- Контроль дебиторской и кредиторской задолженности;

- Формирование и анализ бюджета центров финансовой ответственности, контроль его исполнения.","Высшее профессиональное экономическое образование;

- Опыт работы на производственном предприятии;

- Обязательно знание офисных программ, 1С УПП 8.3 и ERP.",NULL,"Содержательные, интересные задачи, способные раскрыть потенциал каждого сотрудника;
Официальное трудоустройство, конкурентная заработная плата;
Рабочее место-г. Челябинск, Трашутина;
Реальные возможности профессионального и карьерного роста - Вы станете частью большой, профессиональной и дружной команды;
Пятидневная рабочая неделя с 9.00 до 18.00;
Корпоративное обучение;
Возможность реализовать свой творческий потенциал;
Адаптационная программа для новичков;
Безграничные возможности профессионального роста и карьерного продвижения;
Яркая корпоративная культура;",5/2
Электромонтер по ремонту и обслуживанию электрооборудования,17 апреля 2023,16242,"СЕВЕРСКИЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОС",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Водитель автомобиля,17 апреля 2023,24000,"ОАО ""ПЛЕМЗАВОД ""ВОЛЯ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,17055,"ООО ""УРОЖАЙ ХХI ВЕК""",Не имеет значения,Частичная,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
Слесарь по ремонту сельскохозяйственных машин и оборудования,17 апреля 2023,По договорённости,"ООО ""АГРОМАРКЕТ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Электромонтер по ремонту и обслуживанию электрооборудования,17 апреля 2023,27000,"АО ФИРМА ""АГРОКОМПЛЕКС"" ИМ. Н.И.ТКАЧЕВА",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Сменный график
Главный агроном,17 апреля 2023,120000,"АО ФИРМА ""АГРОКОМПЛЕКС"" ИМ. Н.И.ТКАЧЕВА",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Системный администратор,17 апреля 2023,25000,"ФГБУ ""КУБАНСКАЯ МИС""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Слесарь-ремонтник,17 апреля 2023,По договорённости,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛАТЫ С МОРЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Весовщик,17 апреля 2023,22230,"ООО АФ ""ОТРАДНЕНСКАЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,20000,"ООО ПСХ ""Колосок""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Повар,17 апреля 2023,19500,"ООО ""КУБАНЬ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Птицевод,17 апреля 2023,27000,"АО ""ЕНИСЕЙАГРОСОЮЗ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Слесарь-оператор,17 апреля 2023,27000,"АО ""ЕНИСЕЙАГРОСОЮЗ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Слесарь-ремонтник,17 апреля 2023,30000,"АО ""ЕНИСЕЙАГРОСОЮЗ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Водитель автобуса,17 апреля 2023,45000,"АО ""СОЛГОН""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Водитель,17 апреля 2023,60000,"АО ""СОЛГОН""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,25987,"ООО ""КАВКАЗСКОЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,25987,"ЗАО ""ТАГАРСКОЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Ветеринарный фельдшер,17 апреля 2023,30000,"КГКУ ""УЖУРСКИЙ ОТДЕЛ ВЕТЕРИНАРИИ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,43000,"ООО ""ЗАРЕЧНОЕ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Гибкий график
Переводчик,17 апреля 2023,39000,"ООО ""ЗАРЕЧНОЕ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Высшее,NULL,Гибкий график
Экспедитор по перевозке грузов,17 апреля 2023,41000,"ООО ""ЗАРЕЧНОЕ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Гибкий график
Слесарь по ремонту сельскохозяйственных машин и оборудования,17 апреля 2023,35000,"ООО ""ЗАРЕЧНОЕ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Гибкий график
Овощевод,17 апреля 2023,35000,"ООО ""ЗАРЕЧНОЕ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Гибкий график
Тракторист-машинист,17 апреля 2023,20025,"АО ""ПЛОДОСОВХОЗ НОВОАЛЕКСАНДРОВСКИЙ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Заведующий складом,17 апреля 2023,26400,"ООО ""АГРОКОМПЛЕКС СТАВРОПОЛЬСКИЙ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,17 апреля 2023,30000,"Акционерное общество Сельскохозяйственное предприятие ""Октябрьское""",Не имеет значения,Полная,Нет,РФ,"Выполнение технологии возделывания почв, выполнение агротехнических и агрохимических мероприятий.",NULL,NULL,NULL,Полный рабочий день
Слесарь КИПиА,17 апреля 2023,45000,"ООО ""ТЕПЛИЧНЫЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Водитель-экспедитор,17 апреля 2023,50000,"ООО ""ТЕПЛИЧНЫЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист,17 апреля 2023,30000,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ЕДИНЫЙ ЛЕСОПОЖАРНЫЙ ЦЕНТР""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Водитель автомобиля,17 апреля 2023,27611,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ЕДИНЫЙ ЛЕСОПОЖАРНЫЙ ЦЕНТР""",Не имеет значения,Сезонная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Овощевод,17 апреля 2023,16242,К-Х САДОВОД,Не имеет значения,Сезонная,Нет,РФ,Выращивание овощных культур в защищенном грунте: - проведение подготовки и посева семян для выращивания рассады; - выполнение технологических операций по уходу за рассадой овощных культур; - высаживание рассады овощных культур; - выполнение технологических операций по уходу за овощными культурами; - проведение сбора и товарной обработки урожая овощных культур.,NULL,Полное общее,NULL,Полный рабочий день
Овощевод,17 апреля 2023,16242,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГЛАВА КРЕСТЬЯНСКОГО (ФЕРМЕРСКОГО)ХОЗЯЙСТВА КАЗИЛОВ АЛЕКСАНДР АЛТАЕВИЧ,Не имеет значения,Сезонная,Нет,РФ,"Осуществляет подготовку семян и посадочного материала. Ведёт посев полевых культур и производит посадку огородных культур. Выращивает и ухаживает за посевами и посадками (прополка, полив, окучивание, подвязывание растений). Проводит защиту растений от вредителей, то есть биохимическую обработку. Собирает и транспортирует собранный урожай.",Ответственность,NULL,NULL,Ненормированный рабочий день
Овощевод,17 апреля 2023,16242,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГЛАВА КРЕСТЬЯНСКОГО (ФЕРМЕРСКОГО)ХОЗЯЙСТВА БЕЛЯНИНА ЕЛЕНА АЛЕКСЕЕВНА,Не имеет значения,Вахтовый метод,Нет,РФ,"подготавливает почву к посеву и посадке (вспашка, боронование, рыхление). Осуществляет подготовку семян и посадочного материала. Ведёт посев полевых культур и производит посадку огородных культур. Выращивает и ухаживает за посевами и посадками (прополка, полив, окучивание, подвязывание растений). Проводит защиту растений от вредителей, то есть биохимическую обработку. Собирает и транспортирует собранный урожай.",Ответственность,NULL,NULL,Ненормированный рабочий день
Овощевод,17 апреля 2023,16242,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГЛАВА КРЕСТЬЯНСКОГО (ФЕРМЕРСКОГО)ХОЗЯЙСТВА БЕЛЯНИНА ЕЛЕНА АЛЕКСЕЕВНА,Не имеет значения,Вахтовый метод,Нет,РФ,"подготавливает почву к посеву и посадке (вспашка, боронование, рыхление). Осуществляет подготовку семян и посадочного материала. Ведёт посев полевых культур и производит посадку огородных культур. Выращивает и ухаживает за посевами и посадками (прополка, полив, окучивание, подвязывание растений). Проводит защиту растений от вредителей, то есть биохимическую обработку. Собирает и транспортирует собранный урожай.",Ответственность,NULL,NULL,Ненормированный рабочий день
Водитель автомобиля,17 апреля 2023,21000,ИП Глава КФХ Шукайло О.В.,Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,17600,Индивидуальный предприниматель глава крестьянского (фермерского) хозяйства Зорин Василий Эрнстович,Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Водитель,17 апреля 2023,35000,РАО АЛЕКСЕЕВСКОЕ АО,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Сторож,17 апреля 2023,20000,РАО АЛЕКСЕЕВСКОЕ АО,Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Тракторист,17 апреля 2023,17000,ИП глава КФХ Камышанов И.Г.,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Экономист,17 апреля 2023,30000,"ООО ""ГПА 4""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
